@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute posx numeric
@attribute posy numeric
@attribute vel numeric
@attribute accel numeric
@attribute time numeric
@attribute signal numeric
@attribute accel_Max10 numeric
@attribute accel_stddev numeric
@attribute posx_stddev numeric
@attribute posy_stddev numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric
@attribute outputs-10 numeric
@attribute outputs-11 numeric
@attribute outputs-12 numeric
@attribute outputs-13 numeric
@attribute outputs-14 numeric
@attribute outputs-15 numeric

@data
246,'2018/04/04 19:36:18:989',10,639,478,0,0,47,1,0,0,0,0,640,?,?,?,?,?,?,?,?,?,?,?,?,?,?
247,'2018/04/04 19:36:19:190',10,639,478,0,0,47,1,0,0,0,0,640,?,?,?,?,?,?,?,?,?,?,?,?,?,?
248,'2018/04/04 19:36:19:393',10,639,478,0,0,47,1,0,0,0,0,640,?,?,?,?,?,?,?,?,?,?,?,?,?,?
249,'2018/04/04 19:36:19:597',10,639,478,0,0,47,1,0,0,0,0,640,?,?,?,?,?,?,?,?,?,?,?,?,?,?
250,'2018/04/04 19:36:19:801',10,639,478,0,0,47,1,0,0,0,0,640,?,?,?,?,?,?,?,?,?,?,?,?,?,?
251,'2018/04/04 19:36:20:005',10,639,478,0,0,47,1,0,0,0,0,640,?,?,?,?,?,?,?,?,?,?,?,?,?,?
252,'2018/04/04 19:36:20:205',10,639,478,0,0,47,1,0,0,0,0,640,?,?,?,?,?,?,?,?,?,?,?,?,?,?
253,'2018/04/04 19:36:20:410',10,639,478,0,0,47,1,0,0,0,0,640,?,?,?,?,?,?,?,?,?,?,?,?,?,?
254,'2018/04/04 19:36:20:615',10,639,478,0,0,47,1,0,0,0,0,640,?,?,?,?,?,?,?,?,?,?,?,?,?,?
255,'2018/04/04 19:36:20:816',10,639,478,0,0,47,1,0,0,0,0,640,?,?,?,?,?,?,?,?,?,?,?,?,?,?
