@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute iposx numeric
@attribute iposy numeric
@attribute ivel numeric
@attribute iaccel numeric
@attribute itime numeric
@attribute isignal numeric
@attribute icorners numeric
@attribute icornersx numeric
@attribute icornersy numeric
@attribute iaccel_Max10 numeric
@attribute iaccel_stddev numeric
@attribute iposx_stddev numeric
@attribute iposy_stddev numeric
@attribute posx numeric
@attribute posy numeric
@attribute vel numeric
@attribute accel numeric
@attribute time numeric
@attribute signal {0,1,2}
@attribute accelMax numeric
@attribute accel_stddev numeric
@attribute posx-stddev numeric
@attribute posy-stddev numeric
@attribute conductor_events {0,1,2,3,4,5,6,7,8,9,10}
@attribute conductor_time numeric
@attribute graphics_trigger numeric
@attribute color_trigger numeric
@attribute particle_maxspeed numeric
@attribute particle_maxforce numeric
@attribute mixgraphics {0,1,2,3,4,5}
@attribute corners {0,1,2,3,4,5}
@attribute cornersx numeric
@attribute cornersy numeric

@data
1,'2018/04/10 20:55:41:562',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2,'2018/04/10 20:55:41:580',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
3,'2018/04/10 20:55:41:596',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
4,'2018/04/10 20:55:41:612',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
5,'2018/04/10 20:55:41:629',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
6,'2018/04/10 20:55:41:644',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
7,'2018/04/10 20:55:41:680',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
8,'2018/04/10 20:55:41:695',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
9,'2018/04/10 20:55:41:712',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
10,'2018/04/10 20:55:41:751',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
11,'2018/04/10 20:55:41:764',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
12,'2018/04/10 20:55:41:780',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
13,'2018/04/10 20:55:41:815',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
14,'2018/04/10 20:55:41:831',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
15,'2018/04/10 20:55:41:848',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
16,'2018/04/10 20:55:41:864',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
17,'2018/04/10 20:55:41:880',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
18,'2018/04/10 20:55:41:896',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
19,'2018/04/10 20:55:41:912',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
20,'2018/04/10 20:55:41:928',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
21,'2018/04/10 20:55:41:945',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
22,'2018/04/10 20:55:41:962',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
23,'2018/04/10 20:55:41:980',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
24,'2018/04/10 20:55:41:996',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
25,'2018/04/10 20:55:42:013',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
26,'2018/04/10 20:55:42:028',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
27,'2018/04/10 20:55:42:045',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
28,'2018/04/10 20:55:42:062',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
29,'2018/04/10 20:55:42:079',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
30,'2018/04/10 20:55:42:095',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
31,'2018/04/10 20:55:42:112',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
32,'2018/04/10 20:55:42:128',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
33,'2018/04/10 20:55:42:144',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
34,'2018/04/10 20:55:42:162',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
35,'2018/04/10 20:55:42:178',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
36,'2018/04/10 20:55:42:195',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
37,'2018/04/10 20:55:42:211',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
38,'2018/04/10 20:55:42:228',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
39,'2018/04/10 20:55:42:245',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
